2022-08-25 11:39:20,510 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.22.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-08-25 11:39:21,330 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.22.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-08-25 11:39:41,093 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-25 11:39:41,106 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-25 11:39:41,113 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-25 11:39:42,684 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=REGISTER {datanodeDetails=04bbabcc-88fa-409e-8a99-17c1904c57ac{ip: 172.22.0.7, host: fabea67b0860, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1578857617786, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-25 11:39:42,746 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.10 | op=REGISTER {datanodeDetails=a4808165-025c-4dbb-be0a-ec15c25aa17a{ip: 172.22.0.10, host: 62de0256a767, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1579053796956, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-25 11:39:44,571 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.8 | op=REGISTER {datanodeDetails=e8283b67-aab1-4cdf-88f7-b400bd92e7d5{ip: 172.22.0.8, host: 2f943706689b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1578287778565, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-25 11:39:45,138 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.10 | op=SEND_HEARTBEAT {datanodeUUID=a4808165-025c-4dbb-be0a-ec15c25aa17a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "796e3a3e-87e3-4d53-a695-b3077fcc9878" uuid128 { mostSigBits: 8749995166269656403 leastSigBits: -6443046847093368712 } } type: RATIS factor: ONE datanode { uuid: "a4808165-025c-4dbb-be0a-ec15c25aa17a" ipAddress: "172.22.0.10" hostName: "ozonesecure-mr_datanode_1.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a4808165-025c-4dbb-be0a-ec15c25aa17a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6593127583639122501 leastSigBits: -4752726878536949382 } } cmdId: 1661427582738 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-08-25 11:39:45,174 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=04bbabcc-88fa-409e-8a99-17c1904c57ac, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "1ab638cb-fed1-4d25-82ae-1149839157c9" uuid128 { mostSigBits: 1924788339552111909 leastSigBits: -9030261195393640503 } } type: RATIS factor: ONE datanode { uuid: "04bbabcc-88fa-409e-8a99-17c1904c57ac" ipAddress: "172.22.0.7" hostName: "ozonesecure-mr_datanode_3.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "04bbabcc-88fa-409e-8a99-17c1904c57ac" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 341055091756384414 leastSigBits: -8459704304921716820 } } cmdId: 1661427582737 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-08-25 11:39:46,204 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.22.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-08-25 11:39:46,274 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e8283b67-aab1-4cdf-88f7-b400bd92e7d5, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "8305a6bb-fc89-42f3-b0df-cd02e03aa9f7" uuid128 { mostSigBits: -9005608553531489549 leastSigBits: -5701613190992188937 } } type: RATIS factor: ONE datanode { uuid: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" ipAddress: "172.22.0.8" hostName: "ozonesecure-mr_datanode_2.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1718057941410427681 leastSigBits: -8577189050030299179 } } cmdId: 1661427582739 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a9707533-fcb6-4320-856a-0261ed52eb3f" uuid128 { mostSigBits: -6237356617764551904 leastSigBits: -8833245099517088961 } } type: RATIS factor: THREE datanode { uuid: "a4808165-025c-4dbb-be0a-ec15c25aa17a" ipAddress: "172.22.0.10" hostName: "ozonesecure-mr_datanode_1.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a4808165-025c-4dbb-be0a-ec15c25aa17a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6593127583639122501 leastSigBits: -4752726878536949382 } } datanode { uuid: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" ipAddress: "172.22.0.8" hostName: "ozonesecure-mr_datanode_2.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1718057941410427681 leastSigBits: -8577189050030299179 } } datanode { uuid: "04bbabcc-88fa-409e-8a99-17c1904c57ac" ipAddress: "172.22.0.7" hostName: "ozonesecure-mr_datanode_3.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "04bbabcc-88fa-409e-8a99-17c1904c57ac" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 341055091756384414 leastSigBits: -8459704304921716820 } } cmdId: 1661427582740 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e1c62aac-a569-4118-8eca-60b3ac882f51" uuid128 { mostSigBits: -2178006448789176040 leastSigBits: -8157601450218213551 } } type: RATIS factor: THREE datanode { uuid: "04bbabcc-88fa-409e-8a99-17c1904c57ac" ipAddress: "172.22.0.7" hostName: "ozonesecure-mr_datanode_3.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "04bbabcc-88fa-409e-8a99-17c1904c57ac" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 341055091756384414 leastSigBits: -8459704304921716820 } } datanode { uuid: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" ipAddress: "172.22.0.8" hostName: "ozonesecure-mr_datanode_2.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1718057941410427681 leastSigBits: -8577189050030299179 } } datanode { uuid: "a4808165-025c-4dbb-be0a-ec15c25aa17a" ipAddress: "172.22.0.10" hostName: "ozonesecure-mr_datanode_1.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a4808165-025c-4dbb-be0a-ec15c25aa17a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6593127583639122501 leastSigBits: -4752726878536949382 } } cmdId: 1661427582741 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-08-25 11:39:46,355 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.22.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-08-25 11:39:47,629 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e8283b67-aab1-4cdf-88f7-b400bd92e7d5, command=[]} | ret=SUCCESS |  
2022-08-25 11:39:48,061 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e8283b67-aab1-4cdf-88f7-b400bd92e7d5, command=[]} | ret=SUCCESS |  
2022-08-25 11:39:50,936 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.10 | op=SEND_HEARTBEAT {datanodeUUID=a4808165-025c-4dbb-be0a-ec15c25aa17a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a9707533-fcb6-4320-856a-0261ed52eb3f" uuid128 { mostSigBits: -6237356617764551904 leastSigBits: -8833245099517088961 } } type: RATIS factor: THREE datanode { uuid: "a4808165-025c-4dbb-be0a-ec15c25aa17a" ipAddress: "172.22.0.10" hostName: "ozonesecure-mr_datanode_1.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a4808165-025c-4dbb-be0a-ec15c25aa17a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6593127583639122501 leastSigBits: -4752726878536949382 } } datanode { uuid: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" ipAddress: "172.22.0.8" hostName: "ozonesecure-mr_datanode_2.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1718057941410427681 leastSigBits: -8577189050030299179 } } datanode { uuid: "04bbabcc-88fa-409e-8a99-17c1904c57ac" ipAddress: "172.22.0.7" hostName: "ozonesecure-mr_datanode_3.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "04bbabcc-88fa-409e-8a99-17c1904c57ac" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 341055091756384414 leastSigBits: -8459704304921716820 } } cmdId: 1661427582740 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e1c62aac-a569-4118-8eca-60b3ac882f51" uuid128 { mostSigBits: -2178006448789176040 leastSigBits: -8157601450218213551 } } type: RATIS factor: THREE datanode { uuid: "04bbabcc-88fa-409e-8a99-17c1904c57ac" ipAddress: "172.22.0.7" hostName: "ozonesecure-mr_datanode_3.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "04bbabcc-88fa-409e-8a99-17c1904c57ac" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 341055091756384414 leastSigBits: -8459704304921716820 } } datanode { uuid: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" ipAddress: "172.22.0.8" hostName: "ozonesecure-mr_datanode_2.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e8283b67-aab1-4cdf-88f7-b400bd92e7d5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1718057941410427681 leastSigBits: -8577189050030299179 } } datanode { uuid: "a4808165-025c-4dbb-be0a-ec15c25aa17a" ipAddress: "172.22.0.10" hostName: "ozonesecure-mr_datanode_1.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a4808165-025c-4dbb-be0a-ec15c25aa17a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6593127583639122501 leastSigBits: -4752726878536949382 } } cmdId: 1661427582741 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-08-25 11:39:53,111 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e8283b67-aab1-4cdf-88f7-b400bd92e7d5, command=[]} | ret=SUCCESS |  
