2022-03-03 01:12:37,253 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=RENAME_KEY {volume=volume1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=/ozone-58531._COPYING_, dstKey=/ozone-58531} | ret=SUCCESS |  
2022-03-03 01:12:41,541 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=ozone-58531, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:12:50,685 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:12:50,715 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part0, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:52,309 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part0, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:52,332 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part1, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:52,431 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part1, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:52,450 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part2, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:52,559 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part2, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:52,857 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:12:52,945 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:12:53,029 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.jar, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:53,380 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.jar, dataSize=316483, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:53,458 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.split, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:53,546 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.split, dataSize=463, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:53,581 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.splitmetainfo, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:53,658 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.splitmetainfo, dataSize=355, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:53,687 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.xml, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:53,892 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.xml, dataSize=201403, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:12:56,006 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.splitmetainfo, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:12:57,063 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.jar, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:12:57,224 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:12:57,307 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.xml, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:12:59,941 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=user, creationTime=1646269979937, modificationTime=1646269979937, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854759680, updateID=63} | ret=SUCCESS |  
2022-03-03 01:12:59,971 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_BUCKET {volume=user, bucket=hadoop, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:flokkr:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646269979965, bucketEncryptionKey=null, modificationTime=1646269979965, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-03 01:12:59,984 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_DIRECTORY {volume=user, bucket=hadoop, key=.staging/job_1646269866238_0001, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:00,045 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_BUCKET {volume=user, bucket=history, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:flokkr:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646269980042, bucketEncryptionKey=null, modificationTime=1646269980042, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-03 01:13:00,053 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_DIRECTORY {volume=user, bucket=history, key=done_intermediate, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:00,087 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_DIRECTORY {volume=user, bucket=history, key=done_intermediate/hadoop, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:00,477 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.splitmetainfo, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:03,350 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=user, bucket=hadoop, key=.staging/job_1646269866238_0001/job_1646269866238_0001_1.jhist, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:03,353 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/_temporary/1, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:03,690 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=CREATE_FILE {volume=user, bucket=hadoop, key=.staging/job_1646269866238_0001/job_1646269866238_0001_1_conf.xml, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:04,370 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=COMMIT_KEY {volume=user, bucket=hadoop, key=.staging/job_1646269866238_0001/job_1646269866238_0001_1_conf.xml, dataSize=232963, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:09,167 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:10,477 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/in/part0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:14,862 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
