2022-04-18 12:59:41,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 12:59:42,257 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=989957b7-a53a-4538-b598-d55b50d71eab, command=[]} | ret=SUCCESS |  
2022-04-18 12:59:42,788 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 12:59:42,962 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 12:59:47,393 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=989957b7-a53a-4538-b598-d55b50d71eab, command=[]} | ret=SUCCESS |  
2022-04-18 12:59:47,760 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 12:59:47,889 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 12:59:59,121 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 13:00:17,275 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=989957b7-a53a-4538-b598-d55b50d71eab, command=[]} | ret=SUCCESS |  
2022-04-18 13:00:17,677 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 13:00:29,053 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 13:00:47,259 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=989957b7-a53a-4538-b598-d55b50d71eab, command=[]} | ret=SUCCESS |  
2022-04-18 13:00:47,677 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 13:00:59,049 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 13:01:11,358 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om2, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 13:01:14,319 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=931268cc-f99b-4ecd-8723-23235e7aa0a3, command=[]} | ret=SUCCESS |  
2022-04-18 13:01:14,342 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b14420dc-5d37-4ad5-8a9a-c6afbaed64b7, command=[]} | ret=SUCCESS |  
2022-04-18 13:01:14,364 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=989957b7-a53a-4538-b598-d55b50d71eab, command=[]} | ret=SUCCESS |  
2022-04-18 13:01:23,832 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om2, size=268435456, num=1} | ret=SUCCESS |  
