2022-04-10 12:55:06,448 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d{ip: 172.18.0.10, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-10 12:55:06,453 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e{ip: 172.18.0.6, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-10 12:55:06,548 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=ab5a8f57-573e-4ba8-a1a8-6048a7146b65{ip: 172.18.0.9, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-10 12:55:07,754 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:07,790 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:07,972 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:09,256 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:09,377 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:09,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:14,141 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:14,262 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:14,530 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:15,213 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:44,279 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:44,539 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:55:45,194 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:14,274 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:14,529 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:15,209 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:33,808 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:33,939 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:33,979 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:44,357 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:44,412 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:56:44,452 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:57:00,266 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:57:00,298 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:57:00,313 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:57:30,240 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:57:30,257 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:57:30,283 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:58:00,214 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:58:00,248 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:58:00,253 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:58:30,229 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:58:30,249 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:58:30,261 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:59:00,238 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
2022-04-10 12:59:00,265 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=ab5a8f57-573e-4ba8-a1a8-6048a7146b65, command=[]} | ret=SUCCESS |  
2022-04-10 12:59:00,275 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=69034cfd-c0fa-41ad-8ea4-df84af5a0d6d, command=[]} | ret=SUCCESS |  
2022-04-10 12:59:30,221 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=fe1aa24a-99c7-4f1c-b1f0-ee57d30d338e, command=[]} | ret=SUCCESS |  
