2022-03-12 01:23:39,154 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:40,894 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:41,073 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:41,482 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:42,166 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:42,795 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:44,094 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:44,104 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:47,597 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:47,616 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:23:58,124 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-12 01:23:59,925 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:24:00,074 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:24:00,099 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:24:00,124 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:24:00,148 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:24:04,090 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-12 01:24:11,557 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:24:29,906 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:24:30,056 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
