2022-03-12 01:25:33,186 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=85d89f41-578d-443a-9a3b-e7fd1f09386b{ip: 10.9.0.13, host: 514bc257790a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:25:33,193 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=30341974-cb76-4b92-89ce-499ade1cf8b4{ip: 10.9.0.11, host: c1316631db8e, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:25:33,195 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6{ip: 10.9.0.12, host: 141318fc86d9, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:25:35,019 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:25:35,022 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:25:35,129 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:25:38,021 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:25:38,194 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:25:38,209 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:25:50,103 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:26:00,537 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:26:01,780 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-12 01:26:03,786 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:26:03,921 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:26:03,942 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:26:08,333 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-12 01:26:33,799 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=85d89f41-578d-443a-9a3b-e7fd1f09386b, command=[]} | ret=SUCCESS |  
2022-03-12 01:26:33,898 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6e2a94a1-e2bc-4a26-b629-db2c0255c1e6, command=[]} | ret=SUCCESS |  
2022-03-12 01:26:33,954 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=30341974-cb76-4b92-89ce-499ade1cf8b4, command=[]} | ret=SUCCESS |  
