2022-04-05 04:01:33,888 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1649131293780, modificationTime=1649131293780, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-04-05 04:01:34,015 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1649131293992, bucketEncryptionKey=null, modificationTime=1649131293992, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-04-05 04:01:34,394 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:01:37,364 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:01:43,728 | INFO  | OMAudit | user=hadoop | ip=172.22.0.9 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.3.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:01:45,485 | INFO  | OMAudit | user=hadoop | ip=172.22.0.9 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.3.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:01:49,170 | INFO  | OMAudit | user=hadoop | ip=172.22.0.9 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.3.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-04-05 04:01:52,279 | INFO  | OMAudit | user=hadoop | ip=172.22.0.9 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:01:53,505 | INFO  | OMAudit | user=hadoop | ip=172.22.0.9 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:01:53,783 | INFO  | OMAudit | user=hadoop | ip=172.22.0.9 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=/dir-1.3.0/file-1.3.0._COPYING_, dstKey=/dir-1.3.0/file-1.3.0} | ret=SUCCESS |  
2022-04-05 04:02:10,180 | INFO  | OMAudit | user=hadoop | ip=172.22.0.9 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-04-05 04:02:18,407 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:02:19,806 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-04-05 04:02:22,209 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.0.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-04-05 04:02:24,364 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-05 04:02:25,645 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-04-05 04:02:25,690 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.0.0/file-1.0.0._COPYING_, dstKey=dir-1.0.0/file-1.0.0} | ret=SUCCESS |  
