2022-04-05 04:09:52,026 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
2022-04-05 04:09:54,056 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90e9b9fa-9af9-45db-a067-c59f370acecd, command=[]} | ret=SUCCESS |  
2022-04-05 04:09:54,405 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2d7e8ff5-9c18-4d6b-b7fe-ccdaa2b92973, command=[]} | ret=SUCCESS |  
2022-04-05 04:09:54,534 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
2022-04-05 04:09:56,137 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2d7e8ff5-9c18-4d6b-b7fe-ccdaa2b92973, command=[]} | ret=SUCCESS |  
2022-04-05 04:09:56,843 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90e9b9fa-9af9-45db-a067-c59f370acecd, command=[]} | ret=SUCCESS |  
2022-04-05 04:09:56,967 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:01,621 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:04,281 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2d7e8ff5-9c18-4d6b-b7fe-ccdaa2b92973, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:09,814 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-05 04:10:11,780 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=2d7e8ff5-9c18-4d6b-b7fe-ccdaa2b92973, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:12,530 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2aeafb99-a0f8-4227-ac48-4ca25c69b35e, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:12,734 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90e9b9fa-9af9-45db-a067-c59f370acecd, command=[]} | ret=SUCCESS |  
2022-04-05 04:10:19,412 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
