2022-07-23 15:45:08,903 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-07-23 15:45:10,232 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-07-23 15:45:30,725 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-23 15:45:30,798 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-23 15:45:30,995 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-23 15:45:33,212 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=REGISTER {datanodeDetails=6e811408-d6ce-4e5a-8e1b-2b2340913861{ip: 172.18.0.8, host: 9ce81de776f0, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 401962024224, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-23 15:45:33,291 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.5 | op=REGISTER {datanodeDetails=9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab{ip: 172.18.0.5, host: 73b27dcefa37, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 402554499411, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-23 15:45:33,846 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.10 | op=REGISTER {datanodeDetails=55487d24-5a71-4901-8c64-a9e93003fee0{ip: 172.18.0.10, host: 9dad235b6b32, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 402363527049, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-23 15:45:33,938 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-07-23 15:45:35,165 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=6e811408-d6ce-4e5a-8e1b-2b2340913861, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "036d23b7-5967-4337-950f-ccc1b551e420" uuid128 { mostSigBits: 246892824961172279 leastSigBits: -7705715305064831968 } } type: RATIS factor: ONE datanode { uuid: "6e811408-d6ce-4e5a-8e1b-2b2340913861" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e811408-d6ce-4e5a-8e1b-2b2340913861" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7962667644363886170 leastSigBits: -8206918465545488287 } } cmdId: 1658591133105 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "13e73765-f0e9-4d2d-9655-adee20b876a9" uuid128 { mostSigBits: 1434175917313838381 leastSigBits: -7613988356737173847 } } type: RATIS factor: THREE datanode { uuid: "55487d24-5a71-4901-8c64-a9e93003fee0" ipAddress: "172.18.0.10" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "55487d24-5a71-4901-8c64-a9e93003fee0" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6145299286636710145 leastSigBits: -8330346591730532640 } } datanode { uuid: "9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab" ipAddress: "172.18.0.5" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7340316147527367433 leastSigBits: -6094784282296886357 } } datanode { uuid: "6e811408-d6ce-4e5a-8e1b-2b2340913861" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e811408-d6ce-4e5a-8e1b-2b2340913861" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7962667644363886170 leastSigBits: -8206918465545488287 } } cmdId: 1658591133108 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-07-23 15:45:35,171 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e702dca0-ed55-4be1-aa36-32aebc76f97b" uuid128 { mostSigBits: -1800634317260108831 leastSigBits: -6181697712451815045 } } type: RATIS factor: ONE datanode { uuid: "9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab" ipAddress: "172.18.0.5" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7340316147527367433 leastSigBits: -6094784282296886357 } } cmdId: 1658591133106 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "13e73765-f0e9-4d2d-9655-adee20b876a9" uuid128 { mostSigBits: 1434175917313838381 leastSigBits: -7613988356737173847 } } type: RATIS factor: THREE datanode { uuid: "55487d24-5a71-4901-8c64-a9e93003fee0" ipAddress: "172.18.0.10" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "55487d24-5a71-4901-8c64-a9e93003fee0" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6145299286636710145 leastSigBits: -8330346591730532640 } } datanode { uuid: "9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab" ipAddress: "172.18.0.5" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9a21f55a-bf91-44f7-ab6a-f9fc9f0f5bab" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7340316147527367433 leastSigBits: -6094784282296886357 } } datanode { uuid: "6e811408-d6ce-4e5a-8e1b-2b2340913861" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e811408-d6ce-4e5a-8e1b-2b2340913861" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7962667644363886170 leastSigBits: -8206918465545488287 } } cmdId: 1658591133108 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
