2022-03-23 14:37:50,061 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=84d40979-ed88-4399-bfd5-522398d9fbfa, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:50,154 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=dc6c8823-edb2-4ad3-bd13-6b8f51958e71, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:50,164 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=dc6c8823-edb2-4ad3-bd13-6b8f51958e71, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:52,532 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=613a4ca2-43b0-4a07-9020-bc4dff474b4b, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:52,644 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=84d40979-ed88-4399-bfd5-522398d9fbfa, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:52,744 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=dc6c8823-edb2-4ad3-bd13-6b8f51958e71, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:52,771 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=dc6c8823-edb2-4ad3-bd13-6b8f51958e71, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:54,706 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=613a4ca2-43b0-4a07-9020-bc4dff474b4b, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:55,139 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=84d40979-ed88-4399-bfd5-522398d9fbfa, command=[]} | ret=SUCCESS |  
2022-03-23 14:37:55,274 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=dc6c8823-edb2-4ad3-bd13-6b8f51958e71, command=[]} | ret=SUCCESS |  
2022-03-23 14:38:00,167 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=dc6c8823-edb2-4ad3-bd13-6b8f51958e71, command=[]} | ret=SUCCESS |  
2022-03-23 14:38:08,068 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-23 14:38:08,211 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=84d40979-ed88-4399-bfd5-522398d9fbfa, command=[]} | ret=SUCCESS |  
2022-03-23 14:38:10,045 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=dc6c8823-edb2-4ad3-bd13-6b8f51958e71, command=[]} | ret=SUCCESS |  
2022-03-23 14:38:10,057 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=84d40979-ed88-4399-bfd5-522398d9fbfa, command=[]} | ret=SUCCESS |  
2022-03-23 14:38:10,116 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=613a4ca2-43b0-4a07-9020-bc4dff474b4b, command=[]} | ret=SUCCESS |  
