"unit","success","completed","2020-06-24T15:50:50Z","2020-06-24T16:12:15Z"
"compile","success","completed","2020-06-24T15:50:51Z","2020-06-24T16:00:05Z"
"rat","success","completed","2020-06-24T15:50:50Z","2020-06-24T15:52:35Z"
"author","success","completed","2020-06-24T15:50:52Z","2020-06-24T15:52:31Z"
"checkstyle","success","completed","2020-06-24T15:50:50Z","2020-06-24T15:54:42Z"
"findbugs","success","completed","2020-06-24T15:50:51Z","2020-06-24T15:58:23Z"
"acceptance","success","completed","2020-06-24T16:00:18Z","2020-06-24T17:06:27Z"
"integration (client)","success","completed","2020-06-24T16:00:16Z","2020-06-24T16:54:48Z"
"integration (filesystem)","success","completed","2020-06-24T16:00:18Z","2020-06-24T16:26:45Z"
"integration (filesystem-contract)","success","completed","2020-06-24T16:00:17Z","2020-06-24T16:18:47Z"
"integration (freon)","success","completed","2020-06-24T16:00:24Z","2020-06-24T16:13:01Z"
"integration (hdds-om)","success","completed","2020-06-24T16:00:17Z","2020-06-24T16:36:58Z"
"integration (ozone)","failure","completed","2020-06-24T16:00:17Z","2020-06-24T16:27:35Z"
"coverage","skipped","completed","2020-06-24T17:06:35Z","2020-06-24T17:06:35Z"
"checkstyle","success","completed","2020-06-24T04:10:56Z","2020-06-24T04:14:07Z"
"rat","success","completed","2020-06-24T04:10:54Z","2020-06-24T04:12:46Z"
"compile","success","completed","2020-06-24T04:10:55Z","2020-06-24T04:27:49Z"
"author","success","completed","2020-06-24T04:10:54Z","2020-06-24T04:12:38Z"
"findbugs","success","completed","2020-06-24T04:10:55Z","2020-06-24T04:18:56Z"
"unit","success","completed","2020-06-24T04:10:56Z","2020-06-24T04:29:06Z"
"acceptance","success","completed","2020-06-24T04:28:02Z","2020-06-24T05:29:55Z"
"integration (client)","failure","completed","2020-06-24T04:28:02Z","2020-06-24T05:18:24Z"
"integration (filesystem)","success","completed","2020-06-24T04:28:01Z","2020-06-24T04:55:21Z"
"integration (filesystem-contract)","success","completed","2020-06-24T04:28:02Z","2020-06-24T04:47:52Z"
"integration (freon)","success","completed","2020-06-24T04:28:02Z","2020-06-24T04:40:07Z"
"integration (hdds-om)","success","completed","2020-06-24T04:28:02Z","2020-06-24T05:04:43Z"
"integration (ozone)","success","completed","2020-06-24T04:28:01Z","2020-06-24T04:53:02Z"
"coverage","skipped","completed","2020-06-24T05:30:02Z","2020-06-24T05:30:02Z"
