2022-05-19 20:15:57,592 OK[op=CREATE_KEY, key=key1, user=hadoop] UserProvidedMaterial:false Description:null
2022-05-19 20:34:57,180 OK[op=GET_METADATA, key=key1, user=root] 
2022-05-19 20:34:57,498 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=1, interval=0ms] 
2022-05-19 20:35:06,665 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-19 20:35:07,850 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=2, interval=10353ms] 
2022-05-19 20:35:16,848 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=10182ms] 
2022-05-19 20:50:28,388 OK[op=GET_METADATA, key=key1, user=root] 
2022-05-19 20:50:48,419 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-19 20:50:58,848 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10428ms] 
2022-05-19 20:51:47,953 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-19 20:51:58,848 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10895ms] 
2022-05-19 20:52:48,416 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-19 20:52:58,847 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10431ms] 
2022-05-19 20:53:50,209 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-19 20:54:00,848 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10638ms] 
2022-05-19 20:54:55,632 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-19 20:55:05,847 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10215ms] 
2022-05-19 20:55:47,896 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-19 20:55:58,848 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10951ms] 
2022-05-19 20:56:48,879 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
