2022-07-14 01:17:59,060 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 01:17:59,691 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 01:18:00,082 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 01:18:01,717 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6{ip: 172.25.0.104, host: 10871fdf9e79, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 910096754968, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-14 01:18:01,735 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=70db2107-c099-4f10-862f-2e98a7c3b967{ip: 172.25.0.103, host: f5958607e9e8, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 907687514564, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-14 01:18:02,252 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=cd90d822-3a66-4a77-9c27-062abf3b7ad3{ip: 172.25.0.102, host: 098be52302de, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 909717268000, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-14 01:18:03,248 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=70db2107-c099-4f10-862f-2e98a7c3b967, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:03,279 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:03,837 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:05,481 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:09,714 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=70db2107-c099-4f10-862f-2e98a7c3b967, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:11,710 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:13,021 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:14,487 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:14,631 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:15,203 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:15,560 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=70db2107-c099-4f10-862f-2e98a7c3b967, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:19,709 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:34,383 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=70db2107-c099-4f10-862f-2e98a7c3b967, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:34,471 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:39,304 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=70db2107-c099-4f10-862f-2e98a7c3b967, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:39,549 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:45,511 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:49,735 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:57,939 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:57,950 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:18:58,254 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=70db2107-c099-4f10-862f-2e98a7c3b967, command=[]} | ret=SUCCESS |  
2022-07-14 01:19:27,872 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
2022-07-14 01:19:27,920 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cd90d822-3a66-4a77-9c27-062abf3b7ad3, command=[]} | ret=SUCCESS |  
2022-07-14 01:19:28,153 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=70db2107-c099-4f10-862f-2e98a7c3b967, command=[]} | ret=SUCCESS |  
2022-07-14 01:19:57,869 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=dd3b16be-846e-4af5-bcb4-8c7bf7ffb5f6, command=[]} | ret=SUCCESS |  
