2022-07-23 01:06:54,692 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-23 01:06:55,225 | ERROR | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_VOLUME {volume=no-such-volume} | ret=FAILURE | VOLUME_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Volume no-such-volume is not found
	at org.apache.hadoop.ozone.om.VolumeManagerImpl.getVolumeInfo(VolumeManagerImpl.java:74)
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeInfo(OzoneManager.java:2604) 
2022-07-23 01:06:59,399 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-23 01:06:59,997 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1658538419857, modificationTime=1658538419857, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-07-23 01:07:03,603 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-23 01:07:03,967 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2022-07-23 01:07:03,996 | ERROR | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_BUCKET {volume=vol1, bucket=no-such-bucket} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not found
	at org.apache.hadoop.ozone.om.BucketManagerImpl.getBucketInfo(BucketManagerImpl.java:131)
	at org.apache.hadoop.ozone.om.OzoneManager.getBucketInfo(OzoneManager.java:2780) 
2022-07-23 01:07:07,375 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-23 01:07:07,769 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2022-07-23 01:07:07,885 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol1, bucket=bucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1658538427866, bucketEncryptionKey=null, modificationTime=1658538427866, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-07-23 01:07:08,624 | INFO  | OMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-23 01:07:12,502 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-23 01:07:12,903 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2022-07-23 01:07:12,928 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
2022-07-23 01:07:31,949 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-07-23 01:07:32,380 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_VOLUME {volume=vol1} | ret=SUCCESS |  
2022-07-23 01:07:32,399 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=READ_BUCKET {volume=vol1, bucket=bucket} | ret=SUCCESS |  
