2022-05-24 01:03:44,565 OK[op=CREATE_KEY, key=key1, user=hadoop] UserProvidedMaterial:false Description:null
2022-05-24 01:23:09,804 OK[op=GET_METADATA, key=key1, user=root] 
2022-05-24 01:23:10,169 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=1, interval=0ms] 
2022-05-24 01:23:20,044 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:23:20,345 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=2, interval=10177ms] 
2022-05-24 01:23:30,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=10299ms] 
2022-05-24 01:38:37,065 OK[op=GET_METADATA, key=key1, user=root] 
2022-05-24 01:38:49,445 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:39:00,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10898ms] 
2022-05-24 01:39:49,686 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=1ms] 
2022-05-24 01:40:00,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10658ms] 
2022-05-24 01:40:50,139 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:41:00,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10204ms] 
2022-05-24 01:41:51,484 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:42:02,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10859ms] 
2022-05-24 01:42:59,475 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=1ms] 
2022-05-24 01:43:10,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10869ms] 
2022-05-24 01:43:49,581 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:44:00,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10762ms] 
2022-05-24 01:44:49,848 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:45:00,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10495ms] 
2022-05-24 01:45:50,657 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:46:01,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10686ms] 
2022-05-24 01:46:52,482 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:47:03,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10861ms] 
2022-05-24 01:47:56,307 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:48:06,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10036ms] 
2022-05-24 01:49:07,608 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:49:18,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10736ms] 
2022-05-24 01:50:08,603 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:50:19,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10740ms] 
2022-05-24 01:51:10,242 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:51:20,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10101ms] 
2022-05-24 01:52:11,174 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:52:21,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10169ms] 
2022-05-24 01:53:15,667 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:53:26,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10676ms] 
2022-05-24 01:54:15,835 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:54:26,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10508ms] 
2022-05-24 01:55:16,568 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:55:27,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10777ms] 
2022-05-24 01:56:17,116 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:56:27,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10227ms] 
2022-05-24 01:57:18,041 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:57:28,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10302ms] 
2022-05-24 01:58:19,633 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:58:30,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10710ms] 
2022-05-24 01:59:19,977 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-24 01:59:30,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=5, interval=10366ms] 
2022-05-24 02:01:15,743 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=1ms] 
2022-05-24 02:01:26,343 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10601ms] 
2022-05-24 02:02:16,886 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
