2022-03-08 14:34:29,804 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=55f25145-090d-4b3e-bce0-41620cf7f354{ip: 172.25.0.102, host: d2d040228aa0, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1033905375953, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 14:34:29,836 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=15dd677c-4594-4f63-abc0-76d0cd7f7e54{ip: 172.25.0.103, host: da45fb8ece28, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1033485331749, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 14:34:30,033 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=7fc38863-a126-4eda-8961-004863a83209{ip: 172.25.0.104, host: 20c0838e169c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1037167524436, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 14:34:31,017 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=15dd677c-4594-4f63-abc0-76d0cd7f7e54, command=[]} | ret=SUCCESS |  
2022-03-08 14:34:31,031 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=55f25145-090d-4b3e-bce0-41620cf7f354, command=[]} | ret=SUCCESS |  
2022-03-08 14:34:31,578 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=7fc38863-a126-4eda-8961-004863a83209, command=[]} | ret=SUCCESS |  
2022-03-08 14:34:33,177 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=7fc38863-a126-4eda-8961-004863a83209, command=[]} | ret=SUCCESS |  
2022-03-08 14:34:38,704 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=15dd677c-4594-4f63-abc0-76d0cd7f7e54, command=[]} | ret=SUCCESS |  
2022-03-08 14:34:40,094 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=7fc38863-a126-4eda-8961-004863a83209, command=[]} | ret=SUCCESS |  
2022-03-08 14:34:42,871 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=55f25145-090d-4b3e-bce0-41620cf7f354, command=[]} | ret=SUCCESS |  
2022-03-08 14:34:44,193 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=7fc38863-a126-4eda-8961-004863a83209, command=[]} | ret=SUCCESS |  
