2022-03-07 10:38:08,148 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-4-73278, bucket=bucket-1-70744, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488145, bucketEncryptionKey=null, modificationTime=1646649488145, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,160 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-0-59794, bucket=bucket-2-72906, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488157, bucketEncryptionKey=null, modificationTime=1646649488157, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,170 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-1-20510, bucket=bucket-2-23210, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488167, bucketEncryptionKey=null, modificationTime=1646649488167, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,182 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-2-87067, bucket=bucket-2-69905, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488178, bucketEncryptionKey=null, modificationTime=1646649488178, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,193 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-3-43921, bucket=bucket-2-37602, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488191, bucketEncryptionKey=null, modificationTime=1646649488191, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,205 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-4-73278, bucket=bucket-2-82264, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488202, bucketEncryptionKey=null, modificationTime=1646649488202, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,215 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-0-59794, bucket=bucket-3-78630, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488212, bucketEncryptionKey=null, modificationTime=1646649488212, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,227 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-1-20510, bucket=bucket-3-22476, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488223, bucketEncryptionKey=null, modificationTime=1646649488223, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,235 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-2-87067, bucket=bucket-3-47436, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488232, bucketEncryptionKey=null, modificationTime=1646649488232, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,244 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-3-43921, bucket=bucket-3-76440, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488241, bucketEncryptionKey=null, modificationTime=1646649488241, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,252 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-4-73278, bucket=bucket-3-75902, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488249, bucketEncryptionKey=null, modificationTime=1646649488249, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,261 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-0-59794, bucket=bucket-4-27773, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488258, bucketEncryptionKey=null, modificationTime=1646649488258, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,272 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-1-20510, bucket=bucket-4-40571, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488269, bucketEncryptionKey=null, modificationTime=1646649488269, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,280 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-2-87067, bucket=bucket-4-59618, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488277, bucketEncryptionKey=null, modificationTime=1646649488277, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,290 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-3-43921, bucket=bucket-4-80989, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488286, bucketEncryptionKey=null, modificationTime=1646649488286, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,298 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-4-73278, bucket=bucket-4-53346, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488294, bucketEncryptionKey=null, modificationTime=1646649488294, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,774 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=vol-0-59794, bucket=bucket-0-96583, key=key-0-30707, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-07 10:38:15,069 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=COMMIT_KEY {volume=vol-0-59794, bucket=bucket-0-96583, key=key-0-30707, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
