2022-04-12 13:12:13,582 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=0852a1e0-b4fb-4647-b396-f7d9da55e937{ip: 10.9.0.12, host: 28e2af45083a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-12 13:12:14,445 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=18324c8f-7b13-49d3-96f7-7b9d5032441d{ip: 10.9.0.11, host: ec0318726bea, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-12 13:12:15,423 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=d5004be2-573b-4187-bcb9-caf5def1a5ba{ip: 10.9.0.13, host: a5ed2ef9eb0b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-12 13:12:15,537 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0852a1e0-b4fb-4647-b396-f7d9da55e937, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:16,438 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=18324c8f-7b13-49d3-96f7-7b9d5032441d, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:17,417 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d5004be2-573b-4187-bcb9-caf5def1a5ba, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:18,691 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d5004be2-573b-4187-bcb9-caf5def1a5ba, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:18,734 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0852a1e0-b4fb-4647-b396-f7d9da55e937, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:18,803 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=18324c8f-7b13-49d3-96f7-7b9d5032441d, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:27,295 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=18324c8f-7b13-49d3-96f7-7b9d5032441d, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:42,552 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0852a1e0-b4fb-4647-b396-f7d9da55e937, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:48,636 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d5004be2-573b-4187-bcb9-caf5def1a5ba, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:51,183 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=ALLOCATE_BLOCK {replication=RATIS/ONE, owner=om2, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:12:53,397 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d5004be2-573b-4187-bcb9-caf5def1a5ba, command=[]} | ret=SUCCESS |  
2022-04-12 13:12:57,280 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=18324c8f-7b13-49d3-96f7-7b9d5032441d, command=[]} | ret=SUCCESS |  
