2022-03-08 16:48:18,249 | INFO  | OMAudit | user=hadoop | ip=172.22.0.2 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.1.0/file-1.1.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:48:19,326 | INFO  | OMAudit | user=hadoop | ip=172.22.0.2 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.1.0/file-1.1.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:48:19,378 | INFO  | OMAudit | user=hadoop | ip=172.22.0.2 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.1.0/file-1.1.0._COPYING_, dstKey=dir-1.1.0/file-1.1.0} | ret=SUCCESS |  
2022-03-08 16:48:33,753 | INFO  | OMAudit | user=hadoop | ip=172.22.0.2 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.1.0/file-1.1.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-08 16:48:48,167 | INFO  | OMAudit | user=hadoop | ip=172.22.0.2 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-08 16:49:06,687 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.1.0/file-1.1.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-08 16:49:16,484 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.2.1, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:49:18,394 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.2.1, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:49:21,257 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.2.1, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-08 16:49:23,789 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.2.1/file-1.2.1._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:49:24,978 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.2.1/file-1.2.1._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:49:25,003 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=/dir-1.2.1/file-1.2.1._COPYING_, dstKey=/dir-1.2.1/file-1.2.1} | ret=SUCCESS |  
2022-03-08 16:49:39,892 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.2.1/file-1.2.1, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-08 16:49:56,073 | INFO  | OMAudit | user=hadoop | ip=172.22.0.5 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-08 16:50:14,928 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.2.1/file-1.2.1, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
