2022-03-08 16:57:37,652 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:39,137 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:39,402 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:39,561 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:41,410 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:41,645 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:41,678 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:42,577 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:44,372 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:44,380 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
