2022-06-02 01:07:45,545 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.11 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-06-02 01:07:46,744 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-06-02 01:08:08,089 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-02 01:08:08,091 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-02 01:08:08,551 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-02 01:08:09,924 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.4 | op=REGISTER {datanodeDetails=127ea638-52ed-43de-9215-463dbbb246af{ip: 172.18.0.4, host: 02a32fdb6774, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 283127386708, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-02 01:08:10,035 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.18.0.11 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-06-02 01:08:10,058 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=REGISTER {datanodeDetails=6a653a81-53c0-4116-b7ed-58cf9322e2dc{ip: 172.18.0.8, host: bb4300892ec1, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 283730022947, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-02 01:08:10,514 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.6 | op=REGISTER {datanodeDetails=21c2334e-363d-4187-87b6-2c11f607abb9{ip: 172.18.0.6, host: 50794f477141, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 283566432895, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-02 01:08:12,033 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=127ea638-52ed-43de-9215-463dbbb246af, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f571b9c3-8e32-4b7d-ad06-b05d1206154b" uuid128 { mostSigBits: -760622612493481091 leastSigBits: -5978897541506919093 } } type: RATIS factor: ONE datanode { uuid: "127ea638-52ed-43de-9215-463dbbb246af" ipAddress: "172.18.0.4" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "127ea638-52ed-43de-9215-463dbbb246af" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1332685300587906014 leastSigBits: -7920347138705176913 } } cmdId: 1654132090091 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "daeff987-0996-4a65-9929-d650647c5bbb" uuid128 { mostSigBits: -2670641695630669211 leastSigBits: -7410156071089841221 } } type: RATIS factor: THREE datanode { uuid: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7666598267798438166 leastSigBits: -5193397146738302244 } } datanode { uuid: "127ea638-52ed-43de-9215-463dbbb246af" ipAddress: "172.18.0.4" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "127ea638-52ed-43de-9215-463dbbb246af" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1332685300587906014 leastSigBits: -7920347138705176913 } } datanode { uuid: "21c2334e-363d-4187-87b6-2c11f607abb9" ipAddress: "172.18.0.6" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "21c2334e-363d-4187-87b6-2c11f607abb9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2432563159743938951 leastSigBits: -8667691977174176839 } } cmdId: 1654132090094 priority: 0 priority: 1 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-06-02 01:08:12,033 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=6a653a81-53c0-4116-b7ed-58cf9322e2dc, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d7d073af-2258-4a44-8719-93b88f3474f3" uuid128 { mostSigBits: -2895687364366546364 leastSigBits: -8711769583285668621 } } type: RATIS factor: ONE datanode { uuid: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7666598267798438166 leastSigBits: -5193397146738302244 } } cmdId: 1654132090092 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "daeff987-0996-4a65-9929-d650647c5bbb" uuid128 { mostSigBits: -2670641695630669211 leastSigBits: -7410156071089841221 } } type: RATIS factor: THREE datanode { uuid: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6a653a81-53c0-4116-b7ed-58cf9322e2dc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7666598267798438166 leastSigBits: -5193397146738302244 } } datanode { uuid: "127ea638-52ed-43de-9215-463dbbb246af" ipAddress: "172.18.0.4" hostName: "ozonesecure_datanode_2.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "127ea638-52ed-43de-9215-463dbbb246af" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1332685300587906014 leastSigBits: -7920347138705176913 } } datanode { uuid: "21c2334e-363d-4187-87b6-2c11f607abb9" ipAddress: "172.18.0.6" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "21c2334e-363d-4187-87b6-2c11f607abb9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2432563159743938951 leastSigBits: -8667691977174176839 } } cmdId: 1654132090094 priority: 0 priority: 1 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
