2022-08-22 17:16:16,349 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-3326430241], path=[README1.md]} | ret=SUCCESS |  
2022-08-22 17:16:16,441 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_KEY {bucket=[bucket-ozone-test-3326430241], path=[README1.md]} | ret=SUCCESS |  
2022-08-22 17:16:16,458 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_KEY {bucket=[bucket-ozone-test-3326430241], path=[README10.md]} | ret=SUCCESS |  
2022-08-22 17:16:16,479 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=GET_KEY {bucket=[bucket-ozone-test-3326430241], path=[README10.md]} | ret=SUCCESS |  
2022-08-22 17:16:16,655 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=MULTI_DELETE {bucket=[bucket-ozone-test-3326430241], delete=[]} | ret=SUCCESS |  
2022-08-22 17:16:16,674 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_KEY {bucket=[bucket-ozone-test-3326430241], path=[README10.md]} | ret=SUCCESS |  
2022-08-22 17:16:16,708 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3326430241], path=[oodefmxzpx], uploads=[]} | ret=SUCCESS |  
2022-08-22 17:16:17,570 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3326430241], path=[oodefmxzpx], uploadId=[9c320f7e-bc82-4def-bd2b-048cef97c5d4-108867654561759251], partNumber=[1]} | ret=SUCCESS |  
2022-08-22 17:16:18,282 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3326430241], path=[oodefmxzpx], uploadId=[9c320f7e-bc82-4def-bd2b-048cef97c5d4-108867654561759251], partNumber=[2]} | ret=SUCCESS |  
2022-08-22 17:16:18,598 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3326430241], path=[oodefmxzpx], uploadId=[9c320f7e-bc82-4def-bd2b-048cef97c5d4-108867654561759251]} | ret=SUCCESS |  
2022-08-22 17:16:21,652 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5779857857]} | ret=SUCCESS |  
2022-08-22 17:16:22,262 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-0244311850]} | ret=SUCCESS |  
2022-08-22 17:16:22,839 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-6896245471]} | ret=SUCCESS |  
2022-08-22 17:16:23,522 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-6896245471]} | ret=SUCCESS |  
2022-08-22 17:16:24,165 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-4653997021]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Bucket or Volume name has an unsupported character : _
	at org.apache.hadoop.ozone.client.rpc.RpcClient.verifyBucketName(RpcClient.java:694)
	at org.apache.hadoop.ozone.client.rpc.RpcClient.createBucket(RpcClient.java:603) 
2022-08-22 17:16:24,944 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-7543489347]} | ret=SUCCESS |  
2022-08-22 17:16:30,543 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4386178311]} | ret=SUCCESS |  
2022-08-22 17:16:31,125 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-9612651054]} | ret=SUCCESS |  
2022-08-22 17:16:31,707 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-9612651054]} | ret=SUCCESS |  
2022-08-22 17:16:32,294 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-6505343545]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not exists
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:698)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:911) 
2022-08-22 17:16:35,372 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-7430023947]} | ret=SUCCESS |  
2022-08-22 17:16:35,963 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-7430023947]} | ret=SUCCESS |  
2022-08-22 17:16:36,535 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_BUCKET {bucket=[ozonenosuchbucketqqweqwe-ozone-test-7011808906]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:139)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.getBucket(EndpointBase.java:116) 
2022-08-22 17:16:39,632 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-9671421207]} | ret=SUCCESS |  
2022-08-22 17:16:40,229 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2022-08-22 17:16:41,288 | ERROR | S3GAudit | user=null | ip=172.18.0.8 | op=AUTH(GET /) {} | ret=FAILURE | org.apache.hadoop.ozone.s3.signature.MalformedResourceException: AWS access id shouldn't be empty. credential: /20220822/us-west-1/s3/aws4_request
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseCredentials(AuthorizationV4HeaderParser.java:170)
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseSignature(AuthorizationV4HeaderParser.java:90) 
2022-08-22 17:16:47,016 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg0]} | ret=SUCCESS |  
2022-08-22 17:16:47,046 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg8]} | ret=SUCCESS |  
2022-08-22 17:16:47,101 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg5]} | ret=SUCCESS |  
2022-08-22 17:16:47,106 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg1]} | ret=SUCCESS |  
