2022-03-23 15:07:55,931 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=7b2bc73b-9563-4c00-abc9-4c99d613cecb, command=[]} | ret=SUCCESS |  
2022-03-23 15:07:58,020 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=402f97ea-a6f5-46b5-b268-8f7876228f00, command=[]} | ret=SUCCESS |  
2022-03-23 15:07:58,394 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4ae1fdac-b8e9-4637-875a-8779d04e3947, command=[]} | ret=SUCCESS |  
2022-03-23 15:07:58,479 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=7b2bc73b-9563-4c00-abc9-4c99d613cecb, command=[]} | ret=SUCCESS |  
2022-03-23 15:07:59,739 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4ae1fdac-b8e9-4637-875a-8779d04e3947, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:00,106 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=402f97ea-a6f5-46b5-b268-8f7876228f00, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:00,984 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=7b2bc73b-9563-4c00-abc9-4c99d613cecb, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:05,140 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=402f97ea-a6f5-46b5-b268-8f7876228f00, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:08,246 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4ae1fdac-b8e9-4637-875a-8779d04e3947, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:11,541 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:08:13,937 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4ae1fdac-b8e9-4637-875a-8779d04e3947, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:14,234 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=7b2bc73b-9563-4c00-abc9-4c99d613cecb, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:14,300 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=402f97ea-a6f5-46b5-b268-8f7876228f00, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:21,559 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:08:31,449 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:08:43,923 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4ae1fdac-b8e9-4637-875a-8779d04e3947, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:44,187 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=7b2bc73b-9563-4c00-abc9-4c99d613cecb, command=[]} | ret=SUCCESS |  
2022-03-23 15:08:44,287 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=402f97ea-a6f5-46b5-b268-8f7876228f00, command=[]} | ret=SUCCESS |  
2022-03-23 15:09:03,791 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:09:10,718 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:09:11,949 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=7b2bc73b-9563-4c00-abc9-4c99d613cecb, command=[]} | ret=SUCCESS |  
2022-03-23 15:09:11,971 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=402f97ea-a6f5-46b5-b268-8f7876228f00, command=[]} | ret=SUCCESS |  
2022-03-23 15:09:11,972 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4ae1fdac-b8e9-4637-875a-8779d04e3947, command=[]} | ret=SUCCESS |  
2022-03-23 15:09:41,912 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.12 | op=SEND_HEARTBEAT {datanodeUUID=7b2bc73b-9563-4c00-abc9-4c99d613cecb, command=[]} | ret=SUCCESS |  
2022-03-23 15:09:41,937 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4ae1fdac-b8e9-4637-875a-8779d04e3947, command=[]} | ret=SUCCESS |  
2022-03-23 15:09:41,962 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=402f97ea-a6f5-46b5-b268-8f7876228f00, command=[]} | ret=SUCCESS |  
