2022-03-23 15:05:07,172 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4c77bc2d-8e3c-443c-8d7a-2f509ee658cf, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:10,908 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e9210d77-4abe-4516-ad01-577156b3a497, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:11,299 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e9210d77-4abe-4516-ad01-577156b3a497, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:11,808 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=SEND_HEARTBEAT {datanodeUUID=71851258-2904-4d84-bb82-7c6dbd26572d, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:12,413 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4c77bc2d-8e3c-443c-8d7a-2f509ee658cf, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:18,176 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_BLOCK {owner=86a8d0f9-ad54-425b-903e-29ea447ad3ef, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-23 15:05:20,483 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e9210d77-4abe-4516-ad01-577156b3a497, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:20,548 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=SEND_HEARTBEAT {datanodeUUID=71851258-2904-4d84-bb82-7c6dbd26572d, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:20,660 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.6 | op=SEND_HEARTBEAT {datanodeUUID=4c77bc2d-8e3c-443c-8d7a-2f509ee658cf, command=[]} | ret=SUCCESS |  
2022-03-23 15:05:26,963 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.3 | op=ALLOCATE_BLOCK {owner=86a8d0f9-ad54-425b-903e-29ea447ad3ef, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
