2022-06-14 12:47:27,488 OK[op=CREATE_KEY, key=key1, user=hadoop] UserProvidedMaterial:false Description:null
2022-06-14 13:08:32,658 OK[op=GET_METADATA, key=key1, user=root] 
2022-06-14 13:08:33,001 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=1, interval=0ms] 
2022-06-14 13:08:43,328 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=1, interval=10327ms] 
2022-06-14 13:08:43,929 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:08:54,325 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=1, interval=21324ms] 
2022-06-14 13:08:54,326 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10397ms] 
2022-06-14 13:09:05,326 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=21396ms] 
2022-06-14 13:26:22,624 OK[op=GET_METADATA, key=key1, user=root] 
2022-06-14 13:26:42,142 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:26:52,326 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10184ms] 
2022-06-14 13:27:41,946 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:27:52,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10379ms] 
2022-06-14 13:28:42,406 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:28:53,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10919ms] 
2022-06-14 13:29:43,922 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:29:54,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10403ms] 
2022-06-14 13:30:45,610 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:30:56,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10715ms] 
2022-06-14 13:31:41,653 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:31:52,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10672ms] 
2022-06-14 13:32:42,412 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:32:53,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10913ms] 
2022-06-14 13:33:44,110 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:33:54,326 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10215ms] 
2022-06-14 13:34:47,024 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:34:57,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10301ms] 
2022-06-14 13:35:53,765 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:36:04,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10560ms] 
2022-06-14 13:37:02,288 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:37:12,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10037ms] 
2022-06-14 13:38:02,910 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:38:13,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10415ms] 
2022-06-14 13:39:04,313 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:39:14,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10012ms] 
2022-06-14 13:40:06,096 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:40:16,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10229ms] 
2022-06-14 13:41:08,748 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:41:19,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10577ms] 
2022-06-14 13:42:08,908 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-06-14 13:42:19,325 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10417ms] 
2022-06-14 13:43:09,395 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
