2022-03-19 01:02:36,210 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=7d1eaa4e-e400-4e03-a920-fd0542b2202b{ip: 172.18.0.8, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-19 01:03:13,575 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:14,920 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:19,054 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:43,572 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:44,183 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:44,201 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:44,351 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:52,258 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:52,301 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:03:52,356 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,631 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,667 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,684 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:04,713 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:34,599 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:34,617 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:04:34,647 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:04,626 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:04,635 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:04,650 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:34,601 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:34,620 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:05:34,643 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:04,616 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:04,634 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:04,646 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:34,610 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:34,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:06:34,667 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:04,645 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:04,651 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:04,651 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:34,614 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:34,625 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:07:34,653 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:04,617 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:04,661 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:04,795 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:34,609 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:34,635 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:08:34,671 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:04,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:04,680 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:04,711 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:34,600 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:34,634 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:09:34,674 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
