2022-03-23 14:43:59,189 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=a911bf49-9316-41c7-b5dd-5b9f67f0fa55{ip: 10.9.0.12, host: 26555c3c4454, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-23 14:43:59,249 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=4ce552db-e816-44f0-b232-149053c81ff6{ip: 10.9.0.13, host: 4bf840d535df, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-23 14:43:59,778 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=2f2308b3-69bd-41dc-ba75-1aa9c079db97{ip: 10.9.0.11, host: 9e211af0085a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-23 14:44:01,027 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a911bf49-9316-41c7-b5dd-5b9f67f0fa55, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:01,196 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4ce552db-e816-44f0-b232-149053c81ff6, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:01,730 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2f2308b3-69bd-41dc-ba75-1aa9c079db97, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:02,816 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4ce552db-e816-44f0-b232-149053c81ff6, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:02,868 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4ce552db-e816-44f0-b232-149053c81ff6, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:02,987 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2f2308b3-69bd-41dc-ba75-1aa9c079db97, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:03,053 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a911bf49-9316-41c7-b5dd-5b9f67f0fa55, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:14,708 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2f2308b3-69bd-41dc-ba75-1aa9c079db97, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:14,717 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2f2308b3-69bd-41dc-ba75-1aa9c079db97, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:14,943 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4ce552db-e816-44f0-b232-149053c81ff6, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:14,952 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4ce552db-e816-44f0-b232-149053c81ff6, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:28,423 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-23 14:44:33,044 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a911bf49-9316-41c7-b5dd-5b9f67f0fa55, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:34,359 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-03-23 14:44:44,708 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2f2308b3-69bd-41dc-ba75-1aa9c079db97, command=[]} | ret=SUCCESS |  
2022-03-23 14:44:44,922 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4ce552db-e816-44f0-b232-149053c81ff6, command=[]} | ret=SUCCESS |  
2022-03-23 14:45:02,995 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a911bf49-9316-41c7-b5dd-5b9f67f0fa55, command=[]} | ret=SUCCESS |  
