2022-10-08 01:12:36,179 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_KEY {bucket=[bucket-ozone-test-1277773749], path=[README1.md]} | ret=SUCCESS |  
2022-10-08 01:12:36,316 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=HEAD_KEY {bucket=[bucket-ozone-test-1277773749], path=[README1.md]} | ret=SUCCESS |  
2022-10-08 01:12:36,334 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=HEAD_KEY {bucket=[bucket-ozone-test-1277773749], path=[README10.md]} | ret=SUCCESS |  
2022-10-08 01:12:36,379 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=GET_KEY {bucket=[bucket-ozone-test-1277773749], path=[README10.md]} | ret=SUCCESS |  
2022-10-08 01:12:36,555 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=MULTI_DELETE {bucket=[bucket-ozone-test-1277773749], delete=[]} | ret=SUCCESS |  
2022-10-08 01:12:36,580 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=HEAD_KEY {bucket=[bucket-ozone-test-1277773749], path=[README10.md]} | ret=SUCCESS |  
2022-10-08 01:12:36,619 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-1277773749], path=[efgxugtxyb], uploads=[]} | ret=SUCCESS |  
2022-10-08 01:12:37,691 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-1277773749], path=[efgxugtxyb], uploadId=[8cd95ae0-dffd-408b-9659-7962591b6588-109129993853665299], partNumber=[1]} | ret=SUCCESS |  
2022-10-08 01:12:38,632 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-1277773749], path=[efgxugtxyb], uploadId=[8cd95ae0-dffd-408b-9659-7962591b6588-109129993853665299], partNumber=[2]} | ret=SUCCESS |  
2022-10-08 01:12:38,691 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-1277773749], path=[efgxugtxyb], uploadId=[8cd95ae0-dffd-408b-9659-7962591b6588-109129993853665299]} | ret=SUCCESS |  
2022-10-08 01:12:41,475 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5115090598]} | ret=SUCCESS |  
2022-10-08 01:12:42,117 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-2761143214]} | ret=SUCCESS |  
2022-10-08 01:12:42,835 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8848263710]} | ret=SUCCESS |  
2022-10-08 01:12:43,564 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8848263710]} | ret=SUCCESS |  
2022-10-08 01:12:44,225 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-2253480044]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Bucket or Volume name has an unsupported character : _
	at org.apache.hadoop.ozone.client.rpc.RpcClient.verifyBucketName(RpcClient.java:694)
	at org.apache.hadoop.ozone.client.rpc.RpcClient.createBucket(RpcClient.java:603) 
2022-10-08 01:12:45,148 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-7127968528]} | ret=SUCCESS |  
2022-10-08 01:12:51,360 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-2550798687]} | ret=SUCCESS |  
2022-10-08 01:12:52,028 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5971120233]} | ret=SUCCESS |  
2022-10-08 01:12:52,709 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-5971120233]} | ret=SUCCESS |  
