2022-03-23 14:26:00,850 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ab776a46-1a95-4471-83f0-f233d77865d2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:03,245 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=18114709-aee5-4d51-a826-99e4a9d6f96a, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:03,299 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=18114709-aee5-4d51-a826-99e4a9d6f96a, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:03,621 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=358beb4a-c380-4763-a34b-1f351b2a4ae2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:03,685 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=358beb4a-c380-4763-a34b-1f351b2a4ae2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:03,864 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ab776a46-1a95-4471-83f0-f233d77865d2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:04,064 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=18114709-aee5-4d51-a826-99e4a9d6f96a, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:04,611 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=18114709-aee5-4d51-a826-99e4a9d6f96a, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:04,847 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=358beb4a-c380-4763-a34b-1f351b2a4ae2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:05,798 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ab776a46-1a95-4471-83f0-f233d77865d2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:13,599 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=358beb4a-c380-4763-a34b-1f351b2a4ae2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:34,605 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=18114709-aee5-4d51-a826-99e4a9d6f96a, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:35,785 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ab776a46-1a95-4471-83f0-f233d77865d2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:38,627 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-23 14:26:40,505 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=18114709-aee5-4d51-a826-99e4a9d6f96a, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:40,610 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=358beb4a-c380-4763-a34b-1f351b2a4ae2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:40,634 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ab776a46-1a95-4471-83f0-f233d77865d2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:40,646 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=ab776a46-1a95-4471-83f0-f233d77865d2, command=[]} | ret=SUCCESS |  
2022-03-23 14:26:40,945 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
