2022-08-22 01:07:11,605 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:11,625 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=UPDATE_BUCKET {volume=78710-without-scheme, bucket=bb1, gdprEnabled=null, isVersionEnabled=null} | ret=SUCCESS |  
2022-08-22 01:07:14,027 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:14,179 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:14,188 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:16,916 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:17,060 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:17,073 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:19,796 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:19,955 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:19,968 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_BUCKETS {volume=78710-without-scheme, startKey=, prefix=, maxNumOfBuckets=1000} | ret=SUCCESS |  
2022-08-22 01:07:20,234 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_BUCKETS {volume=78710-without-scheme, startKey=bb1, prefix=, maxNumOfBuckets=1000} | ret=SUCCESS |  
2022-08-22 01:07:22,744 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:22,914 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:22,925 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:23,014 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:23,316 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=ALLOCATE_KEY {volume=78710-without-scheme, bucket=bb1, key=key1, dataSize=17526, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2022-08-22 01:07:26,061 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=COMMIT_KEY {volume=78710-without-scheme, bucket=bb1, key=key1, dataSize=17526, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-08-22 01:07:29,060 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:29,194 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:29,203 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:29,307 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_KEY {volume=78710-without-scheme, bucket=bb1, key=key1, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-08-22 01:07:33,578 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:33,727 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:33,741 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:33,783 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
