2022-03-12 01:46:26,092 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=bbe3b366-dee8-4789-aba9-3fc23f0bff66, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:29,021 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=207a2d47-968d-4d9d-8fdf-d96fdace018d, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:29,372 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=207a2d47-968d-4d9d-8fdf-d96fdace018d, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:31,014 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=bbe3b366-dee8-4789-aba9-3fc23f0bff66, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:31,319 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=f8084e8c-ab86-43a0-812e-8dc1b146ef6b, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:35,270 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=ALLOCATE_BLOCK {owner=932a5fb0-531c-4fb3-a538-2f39a6d30be7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-12 01:46:37,257 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=207a2d47-968d-4d9d-8fdf-d96fdace018d, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:37,441 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=bbe3b366-dee8-4789-aba9-3fc23f0bff66, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:37,598 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=f8084e8c-ab86-43a0-812e-8dc1b146ef6b, command=[]} | ret=SUCCESS |  
2022-03-12 01:46:44,679 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=ALLOCATE_BLOCK {owner=932a5fb0-531c-4fb3-a538-2f39a6d30be7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-12 01:46:54,659 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=ALLOCATE_BLOCK {owner=932a5fb0-531c-4fb3-a538-2f39a6d30be7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-12 01:47:07,240 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=207a2d47-968d-4d9d-8fdf-d96fdace018d, command=[]} | ret=SUCCESS |  
2022-03-12 01:47:07,452 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=bbe3b366-dee8-4789-aba9-3fc23f0bff66, command=[]} | ret=SUCCESS |  
2022-03-12 01:47:07,602 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=f8084e8c-ab86-43a0-812e-8dc1b146ef6b, command=[]} | ret=SUCCESS |  
2022-03-12 01:47:23,660 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=ALLOCATE_BLOCK {owner=932a5fb0-531c-4fb3-a538-2f39a6d30be7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-12 01:47:30,216 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=ALLOCATE_BLOCK {owner=932a5fb0-531c-4fb3-a538-2f39a6d30be7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-03-12 01:47:37,240 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=207a2d47-968d-4d9d-8fdf-d96fdace018d, command=[]} | ret=SUCCESS |  
2022-03-12 01:47:37,446 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=bbe3b366-dee8-4789-aba9-3fc23f0bff66, command=[]} | ret=SUCCESS |  
2022-03-12 01:47:37,608 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=f8084e8c-ab86-43a0-812e-8dc1b146ef6b, command=[]} | ret=SUCCESS |  
2022-03-12 01:48:07,232 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=207a2d47-968d-4d9d-8fdf-d96fdace018d, command=[]} | ret=SUCCESS |  
2022-03-12 01:48:07,447 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=bbe3b366-dee8-4789-aba9-3fc23f0bff66, command=[]} | ret=SUCCESS |  
2022-03-12 01:48:07,608 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=f8084e8c-ab86-43a0-812e-8dc1b146ef6b, command=[]} | ret=SUCCESS |  
