2022-08-30 13:14:13,529 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-ozone-test-1570539265], path=[README1.md]} | ret=SUCCESS |  
2022-08-30 13:14:13,651 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=HEAD_KEY {bucket=[bucket-ozone-test-1570539265], path=[README1.md]} | ret=SUCCESS |  
2022-08-30 13:14:13,668 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=HEAD_KEY {bucket=[bucket-ozone-test-1570539265], path=[README10.md]} | ret=SUCCESS |  
2022-08-30 13:14:13,707 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=GET_KEY {bucket=[bucket-ozone-test-1570539265], path=[README10.md]} | ret=SUCCESS |  
2022-08-30 13:14:13,919 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=MULTI_DELETE {bucket=[bucket-ozone-test-1570539265], delete=[]} | ret=SUCCESS |  
2022-08-30 13:14:13,946 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=HEAD_KEY {bucket=[bucket-ozone-test-1570539265], path=[README10.md]} | ret=SUCCESS |  
2022-08-30 13:14:13,977 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-1570539265], path=[lfzygxiioc], uploads=[]} | ret=SUCCESS |  
2022-08-30 13:14:14,778 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-1570539265], path=[lfzygxiioc], uploadId=[c21b9cfd-19ed-453d-85b8-fb2a82acd87c-108912001283719187], partNumber=[1]} | ret=SUCCESS |  
2022-08-30 13:14:15,552 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-1570539265], path=[lfzygxiioc], uploadId=[c21b9cfd-19ed-453d-85b8-fb2a82acd87c-108912001283719187], partNumber=[2]} | ret=SUCCESS |  
2022-08-30 13:14:15,606 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-1570539265], path=[lfzygxiioc], uploadId=[c21b9cfd-19ed-453d-85b8-fb2a82acd87c-108912001283719187]} | ret=SUCCESS |  
2022-08-30 13:14:18,212 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4124482290]} | ret=SUCCESS |  
2022-08-30 13:14:18,816 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-6957661832]} | ret=SUCCESS |  
2022-08-30 13:14:19,435 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5975076542]} | ret=SUCCESS |  
2022-08-30 13:14:20,021 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5975076542]} | ret=SUCCESS |  
2022-08-30 13:14:20,588 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-5377728270]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Bucket or Volume name has an unsupported character : _
	at org.apache.hadoop.ozone.client.rpc.RpcClient.verifyBucketName(RpcClient.java:694)
	at org.apache.hadoop.ozone.client.rpc.RpcClient.createBucket(RpcClient.java:603) 
