2022-04-12 13:23:39,841 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=004832c4-e7b1-460c-b26b-69e386179cf2, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:40,418 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4e533cc6-b794-4c83-8068-e16652cb5e54, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:42,204 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=4eec339e-9539-4897-8ca0-a4733db6b343, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:42,410 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4e533cc6-b794-4c83-8068-e16652cb5e54, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:42,824 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=004832c4-e7b1-460c-b26b-69e386179cf2, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:43,119 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=4eec339e-9539-4897-8ca0-a4733db6b343, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:44,581 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=004832c4-e7b1-460c-b26b-69e386179cf2, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:45,249 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4e533cc6-b794-4c83-8068-e16652cb5e54, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:47,524 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=4eec339e-9539-4897-8ca0-a4733db6b343, command=[]} | ret=SUCCESS |  
2022-04-12 13:23:58,440 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:23:59,085 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4e533cc6-b794-4c83-8068-e16652cb5e54, command=[]} | ret=SUCCESS |  
2022-04-12 13:24:00,839 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=4eec339e-9539-4897-8ca0-a4733db6b343, command=[]} | ret=SUCCESS |  
2022-04-12 13:24:00,882 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=004832c4-e7b1-460c-b26b-69e386179cf2, command=[]} | ret=SUCCESS |  
2022-04-12 13:24:00,951 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4e533cc6-b794-4c83-8068-e16652cb5e54, command=[]} | ret=SUCCESS |  
2022-04-12 13:24:06,401 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:24:30,745 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=4eec339e-9539-4897-8ca0-a4733db6b343, command=[]} | ret=SUCCESS |  
2022-04-12 13:24:30,845 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=004832c4-e7b1-460c-b26b-69e386179cf2, command=[]} | ret=SUCCESS |  
2022-04-12 13:24:30,959 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=4e533cc6-b794-4c83-8068-e16652cb5e54, command=[]} | ret=SUCCESS |  
