2022-08-24 21:04:33,984 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8166617629]} | ret=SUCCESS |  
2022-08-24 21:04:39,543 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4164878180]} | ret=SUCCESS |  
2022-08-24 21:04:40,510 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-4164878180], path=[testfile]} | ret=SUCCESS |  
2022-08-24 21:04:43,844 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-4164878180], path=[dir1/dir2/file]} | ret=SUCCESS |  
2022-08-24 21:04:46,247 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_BUCKET {bucket=[bucket-ozone-test-4164878180], list-type=[2], encoding-type=[url], prefix=[], delimiter=[/]} | ret=SUCCESS |  
2022-08-24 21:04:46,836 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_BUCKET {bucket=[bucket-ozone-test-4164878180], list-type=[2], encoding-type=[url], prefix=[dir1/], delimiter=[/]} | ret=SUCCESS |  
2022-08-24 21:04:47,386 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_BUCKET {bucket=[bucket-ozone-test-4164878180], list-type=[2], encoding-type=[url], prefix=[dir1/dir2/file], delimiter=[/]} | ret=SUCCESS |  
2022-08-24 21:04:47,999 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-4164878180], path=[specialchars/a+b]} | ret=SUCCESS |  
2022-08-24 21:04:48,757 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_BUCKET {bucket=[bucket-ozone-test-4164878180], list-type=[2], encoding-type=[url], prefix=[specialchars/], delimiter=[/]} | ret=SUCCESS |  
2022-08-24 21:04:54,025 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-0970255710]} | ret=SUCCESS |  
2022-08-24 21:04:54,530 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[ozone-test-ypmpvjoaev]} | ret=SUCCESS |  
2022-08-24 21:04:54,591 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-0970255710], path=[README3.md]} | ret=SUCCESS |  
2022-08-24 21:04:55,784 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-0970255710], path=[README4.md]} | ret=SUCCESS |  
2022-08-24 21:04:58,260 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-0970255710], path=[README10.md]} | ret=SUCCESS |  
2022-08-24 21:04:58,449 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.1.gz], uploads=[]} | ret=SUCCESS |  
2022-08-24 21:05:00,732 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.1.gz], uploadId=[297efe11-c7e6-4424-97a0-998e25b09b31-108879878450184205], partNumber=[2]} | ret=SUCCESS |  
2022-08-24 21:05:00,749 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.1.gz], uploadId=[297efe11-c7e6-4424-97a0-998e25b09b31-108879878450184205], partNumber=[1]} | ret=SUCCESS |  
2022-08-24 21:05:00,945 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.1.gz], uploadId=[297efe11-c7e6-4424-97a0-998e25b09b31-108879878450184205]} | ret=SUCCESS |  
2022-08-24 21:05:01,002 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.2.gz], uploads=[]} | ret=SUCCESS |  
2022-08-24 21:05:01,745 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.2.gz], uploadId=[13d90e4a-533c-4783-b7a9-4735f12339b7-108879878617890832], partNumber=[2]} | ret=SUCCESS |  
2022-08-24 21:05:01,832 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.2.gz], uploadId=[13d90e4a-533c-4783-b7a9-4735f12339b7-108879878617890832], partNumber=[1]} | ret=SUCCESS |  
2022-08-24 21:05:01,891 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0970255710], path=[multiUpload.2.gz], uploadId=[13d90e4a-533c-4783-b7a9-4735f12339b7-108879878617890832]} | ret=SUCCESS |  
2022-08-24 21:05:01,920 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-dvkabsedjt]} | ret=SUCCESS |  
2022-08-24 21:05:01,967 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2022-08-24 21:05:02,011 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-0970255710]} | ret=SUCCESS |  
2022-08-24 21:05:02,040 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=DELETE_BUCKET {bucket=[ozone-test-ypmpvjoaev]} | ret=SUCCESS |  
2022-08-24 21:05:02,100 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-0970255710], path=[README1.md]} | ret=SUCCESS |  
2022-08-24 21:05:02,222 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_KEY {bucket=[bucket-ozone-test-0970255710], path=[README1.md]} | ret=SUCCESS |  
2022-08-24 21:05:02,254 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_KEY {bucket=[bucket-ozone-test-0970255710], path=[README10.md]} | ret=SUCCESS |  
2022-08-24 21:05:02,325 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_KEY {bucket=[bucket-ozone-test-0970255710], path=[README10.md]} | ret=SUCCESS |  
2022-08-24 21:05:02,745 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=MULTI_DELETE {bucket=[bucket-ozone-test-0970255710], delete=[]} | ret=SUCCESS |  
2022-08-24 21:05:02,770 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_KEY {bucket=[bucket-ozone-test-0970255710], path=[README10.md]} | ret=SUCCESS |  
2022-08-24 21:05:02,815 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0970255710], path=[xzqhespcck], uploads=[]} | ret=SUCCESS |  
2022-08-24 21:05:04,271 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0970255710], path=[xzqhespcck], uploadId=[25eeb748-4157-4fb3-80cb-5699e326aaa9-108879878736642068], partNumber=[1]} | ret=SUCCESS |  
