2022-11-19 13:02:10,413 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b31caee3-f069-403d-aa23-01686332e24e" uuid128 { mostSigBits: -5540361147558313923 leastSigBits: -6187099915224423858 } } type: RATIS factor: THREE datanode { uuid: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" ipAddress: "172.18.0.10" hostName: "ozonesecure_datanode_4.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6152240743835810589 leastSigBits: -5682635877838780968 } } datanode { uuid: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1593416513817589144 leastSigBits: -5053659221985020435 } } datanode { uuid: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" ipAddress: "172.18.0.9" hostName: "ozonesecure_datanode_5.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3698830598769101947 leastSigBits: -6846933118874710569 } } cmdId: 1668862927946 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "bb88e1c9-8925-47fd-97c2-929231230c8f" uuid128 { mostSigBits: -4933445136078780419 leastSigBits: -7511280071913304945 } } type: RATIS factor: ONE datanode { uuid: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1593416513817589144 leastSigBits: -5053659221985020435 } } cmdId: 1668862927949 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-11-19 13:02:10,448 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6526c77d-b55e-4ebf-94ca-5f44cc2cc79a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "9298472b-c8da-4319-811c-065c9bda1e24" uuid128 { mostSigBits: -7883472894333140199 leastSigBits: -9143426148647428572 } } type: RATIS factor: ONE datanode { uuid: "6526c77d-b55e-4ebf-94ca-5f44cc2cc79a" ipAddress: "172.18.0.7" hostName: "ozonesecure_datanode_1.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6526c77d-b55e-4ebf-94ca-5f44cc2cc79a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7288732389673422527 leastSigBits: -7725257461712762982 } } cmdId: 1668862927947 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-11-19 13:02:10,657 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=aa9ed9a3-b2fb-44e3-b123-38c6e98785d8, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b31caee3-f069-403d-aa23-01686332e24e" uuid128 { mostSigBits: -5540361147558313923 leastSigBits: -6187099915224423858 } } type: RATIS factor: THREE datanode { uuid: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" ipAddress: "172.18.0.10" hostName: "ozonesecure_datanode_4.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6152240743835810589 leastSigBits: -5682635877838780968 } } datanode { uuid: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" ipAddress: "172.18.0.8" hostName: "ozonesecure_datanode_3.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9e30c1f-7aa9-4a68-b9dd-cbb689b4b5ed" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1593416513817589144 leastSigBits: -5053659221985020435 } } datanode { uuid: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" ipAddress: "172.18.0.9" hostName: "ozonesecure_datanode_5.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3354e2d5-13fa-4c7b-a0fa-ce9ae09d8dd7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3698830598769101947 leastSigBits: -6846933118874710569 } } cmdId: 1668862927946 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "fa7bb95c-bffa-487b-a7ad-39535ca56c58" uuid128 { mostSigBits: -397520334083176325 leastSigBits: -6364367668205228968 } } type: RATIS factor: ONE datanode { uuid: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" ipAddress: "172.18.0.10" hostName: "ozonesecure_datanode_4.ozonesecure_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aa9ed9a3-b2fb-44e3-b123-38c6e98785d8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6152240743835810589 leastSigBits: -5682635877838780968 } } cmdId: 1668862927950 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-11-19 13:02:11,968 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6526c77d-b55e-4ebf-94ca-5f44cc2cc79a, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:14,847 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-11-19 13:02:17,315 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6526c77d-b55e-4ebf-94ca-5f44cc2cc79a, command=[]} | ret=SUCCESS |  
2022-11-19 13:02:20,789 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.18.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-11-19 13:02:21,529 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.18.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-11-19 13:02:27,257 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-11-19 13:02:35,382 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.18.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
