2022-03-03 01:26:20,440 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=ozone-03896._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:23,223 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=ozone-03896._COPYING_, dataSize=1541, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:23,671 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=RENAME_KEY {volume=volume1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=/ozone-03896._COPYING_, dstKey=/ozone-03896} | ret=SUCCESS |  
2022-03-03 01:26:30,492 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=ozone-03896, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:26:44,159 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:26:44,263 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part0, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:46,913 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part0, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:46,938 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part1, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:47,035 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part1, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:47,057 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part2, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:49,682 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part2, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:26:50,988 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.10 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
