2022-04-12 13:42:03,226 | INFO  | OMAudit | user=hadoop | ip=172.22.0.8 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1649770923083, modificationTime=1649770923083, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-04-12 13:42:03,384 | INFO  | OMAudit | user=hadoop | ip=172.22.0.8 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1649770923346, bucketEncryptionKey=null, modificationTime=1649770923346, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-04-12 13:42:04,138 | INFO  | OMAudit | user=hadoop | ip=172.22.0.8 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-12 13:42:08,317 | INFO  | OMAudit | user=hadoop | ip=172.22.0.8 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-12 13:42:16,012 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.3.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-12 13:42:18,382 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.3.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-12 13:42:23,366 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.3.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-04-12 13:42:29,236 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-12 13:42:31,131 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-12 13:42:31,563 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.3.0/file-1.3.0._COPYING_, dstKey=dir-1.3.0/file-1.3.0} | ret=SUCCESS |  
2022-04-12 13:42:53,923 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
