2022-04-12 13:41:46,826 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:46,854 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:46,965 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:46,997 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:47,042 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:47,375 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:48,119 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:51,837 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:52,195 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:52,682 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:41:53,627 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:03,852 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:42:07,161 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:07,540 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:07,599 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:15,998 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:42:18,200 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:18,210 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:18,216 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:18,276 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:29,215 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:42:48,150 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:48,181 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:42:48,187 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:43:04,922 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:43:13,408 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:43:18,162 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:43:18,185 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:43:18,186 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:43:48,155 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:43:48,167 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:43:48,174 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:44:18,159 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:44:18,206 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:44:18,229 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:44:21,740 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:44:29,067 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-12 13:44:48,155 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:44:48,181 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
2022-04-12 13:44:48,194 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=3c2293bf-bb17-4828-af6d-e689ef1781d4, command=[]} | ret=SUCCESS |  
2022-04-12 13:45:18,151 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.9 | op=SEND_HEARTBEAT {datanodeUUID=12f22cd7-a55f-49e1-9451-bef40edef7c3, command=[]} | ret=SUCCESS |  
2022-04-12 13:45:18,176 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.3 | op=SEND_HEARTBEAT {datanodeUUID=b5d832cc-186c-4ef8-918b-85553fa59a65, command=[]} | ret=SUCCESS |  
