2022-04-12 13:48:44,232 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=SEND_HEARTBEAT {datanodeUUID=897014a8-22df-4449-82ec-848762266255, command=[]} | ret=SUCCESS |  
2022-04-12 13:48:44,571 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=SEND_HEARTBEAT {datanodeUUID=897014a8-22df-4449-82ec-848762266255, command=[]} | ret=SUCCESS |  
2022-04-12 13:48:46,539 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=cee2675b-bdd7-4e55-b3c8-ca728e844ef9, command=[]} | ret=SUCCESS |  
2022-04-12 13:48:47,039 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=SEND_HEARTBEAT {datanodeUUID=2f95af45-cb3d-4983-9ebc-aa5af6c24cc3, command=[]} | ret=SUCCESS |  
2022-04-12 13:48:52,773 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=ALLOCATE_BLOCK {owner=6c78887b-ba92-42f9-a69f-8c617a8f0e6a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:48:54,806 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=SEND_HEARTBEAT {datanodeUUID=897014a8-22df-4449-82ec-848762266255, command=[]} | ret=SUCCESS |  
2022-04-12 13:48:55,013 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=SEND_HEARTBEAT {datanodeUUID=2f95af45-cb3d-4983-9ebc-aa5af6c24cc3, command=[]} | ret=SUCCESS |  
2022-04-12 13:48:55,166 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=cee2675b-bdd7-4e55-b3c8-ca728e844ef9, command=[]} | ret=SUCCESS |  
2022-04-12 13:49:01,809 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=ALLOCATE_BLOCK {owner=6c78887b-ba92-42f9-a69f-8c617a8f0e6a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:49:12,552 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=ALLOCATE_BLOCK {owner=6c78887b-ba92-42f9-a69f-8c617a8f0e6a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:49:24,788 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=SEND_HEARTBEAT {datanodeUUID=897014a8-22df-4449-82ec-848762266255, command=[]} | ret=SUCCESS |  
2022-04-12 13:49:25,005 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=SEND_HEARTBEAT {datanodeUUID=2f95af45-cb3d-4983-9ebc-aa5af6c24cc3, command=[]} | ret=SUCCESS |  
2022-04-12 13:49:25,172 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=cee2675b-bdd7-4e55-b3c8-ca728e844ef9, command=[]} | ret=SUCCESS |  
2022-04-12 13:49:44,704 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=ALLOCATE_BLOCK {owner=6c78887b-ba92-42f9-a69f-8c617a8f0e6a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:49:51,628 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=ALLOCATE_BLOCK {owner=6c78887b-ba92-42f9-a69f-8c617a8f0e6a, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:49:54,768 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=SEND_HEARTBEAT {datanodeUUID=897014a8-22df-4449-82ec-848762266255, command=[]} | ret=SUCCESS |  
2022-04-12 13:49:55,022 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=SEND_HEARTBEAT {datanodeUUID=2f95af45-cb3d-4983-9ebc-aa5af6c24cc3, command=[]} | ret=SUCCESS |  
2022-04-12 13:49:55,170 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=cee2675b-bdd7-4e55-b3c8-ca728e844ef9, command=[]} | ret=SUCCESS |  
2022-04-12 13:50:24,773 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=SEND_HEARTBEAT {datanodeUUID=897014a8-22df-4449-82ec-848762266255, command=[]} | ret=SUCCESS |  
2022-04-12 13:50:25,018 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=SEND_HEARTBEAT {datanodeUUID=2f95af45-cb3d-4983-9ebc-aa5af6c24cc3, command=[]} | ret=SUCCESS |  
2022-04-12 13:50:25,173 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.10 | op=SEND_HEARTBEAT {datanodeUUID=cee2675b-bdd7-4e55-b3c8-ca728e844ef9, command=[]} | ret=SUCCESS |  
