2022-04-12 13:51:48,205 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:51:48,545 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
2022-04-12 13:51:48,652 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:51:48,965 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:51:49,947 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6acd030b-f1c8-42ef-9327-a07c4f087c58, command=[]} | ret=SUCCESS |  
2022-04-12 13:51:53,252 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:51:54,096 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ac6aee4d-78e1-427c-a382-a9987f14788c, command=[]} | ret=SUCCESS |  
2022-04-12 13:51:55,488 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
2022-04-12 13:52:02,105 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.5 | op=ALLOCATE_BLOCK {owner=om1, size=268435456, num=1, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-04-12 13:52:04,783 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0d1bbe44-9232-4e67-ac51-b431e761214f, command=[]} | ret=SUCCESS |  
