2022-04-12 13:55:07,504 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:07,645 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:10,190 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:10,543 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:10,773 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:11,276 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:11,771 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5c4ba31c-c9fa-49df-ada5-ffbbee80f86c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:12,431 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.5 | op=SEND_HEARTBEAT {datanodeUUID=908457df-890d-48a7-8244-1ade4ec2978c, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:12,432 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.3 | op=SEND_HEARTBEAT {datanodeUUID=36d723d0-b505-4ab9-af4a-2f4601509d8f, command=[]} | ret=SUCCESS |  
2022-04-12 13:55:22,323 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
