2022-03-12 01:03:45,642 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:45,763 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=946fe976-d63d-469b-b331-624e67c61521, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:45,770 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:45,774 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:45,907 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:46,203 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=946fe976-d63d-469b-b331-624e67c61521, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:46,237 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=946fe976-d63d-469b-b331-624e67c61521, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:47,559 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:47,565 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:47,961 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:47,968 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:51,023 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:51,477 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=946fe976-d63d-469b-b331-624e67c61521, command=[]} | ret=SUCCESS |  
