2022-08-23 17:20:10,628 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-4441218820]} | ret=SUCCESS |  
2022-08-23 17:20:10,676 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=DELETE_BUCKET {bucket=[ozone-test-qkkzprdrev]} | ret=SUCCESS |  
2022-08-23 17:20:10,764 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_KEY {bucket=[bucket-ozone-test-4441218820], path=[README1.md]} | ret=SUCCESS |  
2022-08-23 17:20:10,928 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_KEY {bucket=[bucket-ozone-test-4441218820], path=[README1.md]} | ret=SUCCESS |  
2022-08-23 17:20:10,966 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_KEY {bucket=[bucket-ozone-test-4441218820], path=[README10.md]} | ret=SUCCESS |  
2022-08-23 17:20:11,029 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_KEY {bucket=[bucket-ozone-test-4441218820], path=[README10.md]} | ret=SUCCESS |  
2022-08-23 17:20:11,344 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=MULTI_DELETE {bucket=[bucket-ozone-test-4441218820], delete=[]} | ret=SUCCESS |  
2022-08-23 17:20:11,419 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=HEAD_KEY {bucket=[bucket-ozone-test-4441218820], path=[README10.md]} | ret=SUCCESS |  
2022-08-23 17:20:11,497 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-4441218820], path=[smzxfauhrr], uploads=[]} | ret=SUCCESS |  
2022-08-23 17:20:15,559 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-4441218820], path=[smzxfauhrr], uploadId=[4afc3963-83db-4057-be9a-2973470e4636-108873332259029012], partNumber=[1]} | ret=SUCCESS |  
2022-08-23 17:20:18,059 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-4441218820], path=[smzxfauhrr], uploadId=[4afc3963-83db-4057-be9a-2973470e4636-108873332259029012], partNumber=[2]} | ret=SUCCESS |  
2022-08-23 17:20:18,134 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-4441218820], path=[smzxfauhrr], uploadId=[4afc3963-83db-4057-be9a-2973470e4636-108873332259029012]} | ret=SUCCESS |  
2022-08-23 17:20:27,325 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-7006092195]} | ret=SUCCESS |  
2022-08-23 17:20:28,108 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-0963442031]} | ret=SUCCESS |  
2022-08-23 17:20:28,901 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1231499643]} | ret=SUCCESS |  
2022-08-23 17:20:29,747 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1231499643]} | ret=SUCCESS |  
2022-08-23 17:20:30,510 | ERROR | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-8889536740]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Bucket or Volume name has an unsupported character : _
	at org.apache.hadoop.ozone.client.rpc.RpcClient.verifyBucketName(RpcClient.java:694)
	at org.apache.hadoop.ozone.client.rpc.RpcClient.createBucket(RpcClient.java:603) 
2022-08-23 17:20:31,607 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-2867394092]} | ret=SUCCESS |  
2022-08-23 17:20:46,476 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-3306786556]} | ret=SUCCESS |  
2022-08-23 17:20:47,269 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5578551449]} | ret=SUCCESS |  
2022-08-23 17:20:48,055 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-5578551449]} | ret=SUCCESS |  
2022-08-23 17:20:48,976 | ERROR | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-9056290627]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not found
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:698)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:911) 
2022-08-23 17:20:57,748 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1209876476]} | ret=SUCCESS |  
