2022-10-20 01:07:39,883 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-20 01:07:39,997 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:39,998 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:39,998 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:39,999 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:39,999 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:40,010 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:40,002 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:40,002 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:40,003 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:40,101 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:07:40,391 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-10-20 01:07:41,777 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-20 01:07:42,444 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=69a4cc35-138a-44ac-8090-e9a09558c1d9{ip: 172.18.0.4, host: 52c8d2845721, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:07:42,490 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=0a24067a-ec62-4f44-8aae-0512f705dfbe{ip: 172.18.0.8, host: 5ecefc97bb28, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:07:42,630 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-20 01:07:42,887 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=6b3f0254-0341-43d3-b0cd-b08aa690e0a8{ip: 172.18.0.7, host: aa967a37e0d2, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:07:43,649 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=a285085a-bd6f-4bd1-bb74-2fc424393d55{ip: 172.18.0.5, host: c4781ef03ba7, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:07:43,703 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=e6750a5b-f559-45fe-bfc7-08ef9a5f3d96{ip: 172.18.0.9, host: b95a2df88765, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:07:44,038 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=0a24067a-ec62-4f44-8aae-0512f705dfbe, command=[]} | ret=SUCCESS |  
2022-10-20 01:07:44,425 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=69a4cc35-138a-44ac-8090-e9a09558c1d9, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "bb8df455-f278-4333-8fb7-568233c5af29" uuid128 { mostSigBits: -4932017366923459789 leastSigBits: -8090903088333476055 } } type: RATIS factor: ONE datanode { uuid: "69a4cc35-138a-44ac-8090-e9a09558c1d9" ipAddress: "172.18.0.4" hostName: "ozone_datanode_5.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "69a4cc35-138a-44ac-8090-e9a09558c1d9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7612433798496142508 leastSigBits: -9182582764298780199 } } cmdId: 1666228062647 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-10-20 01:07:44,694 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6b3f0254-0341-43d3-b0cd-b08aa690e0a8, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4683efa6-dfcd-47a3-9953-1f1b75942125" uuid128 { mostSigBits: 5081168304602433443 leastSigBits: -7398535560042372827 } } type: RATIS factor: THREE datanode { uuid: "6b3f0254-0341-43d3-b0cd-b08aa690e0a8" ipAddress: "172.18.0.7" hostName: "ozone_datanode_3.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6b3f0254-0341-43d3-b0cd-b08aa690e0a8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7727898045446177747 leastSigBits: -5706711043262062424 } } datanode { uuid: "e6750a5b-f559-45fe-bfc7-08ef9a5f3d96" ipAddress: "172.18.0.9" hostName: "ozone_datanode_4.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e6750a5b-f559-45fe-bfc7-08ef9a5f3d96" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1840553482636409346 leastSigBits: -4627720266919756394 } } datanode { uuid: "a285085a-bd6f-4bd1-bb74-2fc424393d55" ipAddress: "172.18.0.5" hostName: "ozone_datanode_1.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a285085a-bd6f-4bd1-bb74-2fc424393d55" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6735968481844442159 leastSigBits: -4939270371850764971 } } cmdId: 1666228062648 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "788ef942-1f3d-4fed-9fb7-bf3616a3dec3" uuid128 { mostSigBits: 8687154793631535085 leastSigBits: -6937866461911982397 } } type: RATIS factor: ONE datanode { uuid: "6b3f0254-0341-43d3-b0cd-b08aa690e0a8" ipAddress: "172.18.0.7" hostName: "ozone_datanode_3.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6b3f0254-0341-43d3-b0cd-b08aa690e0a8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7727898045446177747 leastSigBits: -5706711043262062424 } } cmdId: 1666228062649 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
