2022-06-28 01:05:59,083 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-28 01:05:59,085 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-28 01:05:59,083 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-28 01:05:59,084 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-28 01:05:59,084 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-28 01:05:59,644 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {datanodeDetails=c22d9074-0bfe-496b-9e69-cc0a9295a8e9{ip: 172.18.0.2, host: 506e386be162, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-28 01:06:00,253 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=6e698802-00ee-441e-82f4-2b14f1943dea{ip: 172.18.0.5, host: fad8ef435895, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-28 01:06:01,497 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=546f14a3-1782-44ab-a140-5e41355cb1fc{ip: 172.18.0.7, host: 0e77c8fddf9b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-28 01:06:01,630 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=c22d9074-0bfe-496b-9e69-cc0a9295a8e9, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a48fcdf4-df05-42a1-a989-2bb4ad1b2679" uuid128 { mostSigBits: -6588821278222368095 leastSigBits: -6230400554492025223 } } type: RATIS factor: ONE datanode { uuid: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" ipAddress: "172.18.0.2" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4454745628307732117 leastSigBits: -7031864997381297943 } } cmdId: 1656378359654 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c9df2442-1b42-4065-9c47-e26c166e7337" uuid128 { mostSigBits: -3900358885935792027 leastSigBits: -7185525726585654473 } } type: RATIS factor: THREE datanode { uuid: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" ipAddress: "172.18.0.2" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4454745628307732117 leastSigBits: -7031864997381297943 } } datanode { uuid: "6e698802-00ee-441e-82f4-2b14f1943dea" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e698802-00ee-441e-82f4-2b14f1943dea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7956039758913618974 leastSigBits: -9010529585509155350 } } datanode { uuid: "546f14a3-1782-44ab-a140-5e41355cb1fc" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "546f14a3-1782-44ab-a140-5e41355cb1fc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6084104312307467435 leastSigBits: -6827353400932519428 } } cmdId: 1656378359657 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-06-28 01:06:02,234 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=6e698802-00ee-441e-82f4-2b14f1943dea, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "448d128c-abff-46fd-80b2-e24f94b39125" uuid128 { mostSigBits: 4939624761685657341 leastSigBits: -9173020659575189211 } } type: RATIS factor: ONE datanode { uuid: "6e698802-00ee-441e-82f4-2b14f1943dea" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e698802-00ee-441e-82f4-2b14f1943dea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7956039758913618974 leastSigBits: -9010529585509155350 } } cmdId: 1656378359655 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c9df2442-1b42-4065-9c47-e26c166e7337" uuid128 { mostSigBits: -3900358885935792027 leastSigBits: -7185525726585654473 } } type: RATIS factor: THREE datanode { uuid: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" ipAddress: "172.18.0.2" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4454745628307732117 leastSigBits: -7031864997381297943 } } datanode { uuid: "6e698802-00ee-441e-82f4-2b14f1943dea" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e698802-00ee-441e-82f4-2b14f1943dea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7956039758913618974 leastSigBits: -9010529585509155350 } } datanode { uuid: "546f14a3-1782-44ab-a140-5e41355cb1fc" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "546f14a3-1782-44ab-a140-5e41355cb1fc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6084104312307467435 leastSigBits: -6827353400932519428 } } cmdId: 1656378359657 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-06-28 01:06:02,897 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-06-28 01:06:03,490 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=546f14a3-1782-44ab-a140-5e41355cb1fc, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "af0ddeb4-a0a2-4898-9bcf-5631fa0a2292" uuid128 { mostSigBits: -5832761075004454760 leastSigBits: -7219456905003261294 } } type: RATIS factor: ONE datanode { uuid: "546f14a3-1782-44ab-a140-5e41355cb1fc" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "546f14a3-1782-44ab-a140-5e41355cb1fc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6084104312307467435 leastSigBits: -6827353400932519428 } } cmdId: 1656378359656 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c9df2442-1b42-4065-9c47-e26c166e7337" uuid128 { mostSigBits: -3900358885935792027 leastSigBits: -7185525726585654473 } } type: RATIS factor: THREE datanode { uuid: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" ipAddress: "172.18.0.2" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c22d9074-0bfe-496b-9e69-cc0a9295a8e9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4454745628307732117 leastSigBits: -7031864997381297943 } } datanode { uuid: "6e698802-00ee-441e-82f4-2b14f1943dea" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e698802-00ee-441e-82f4-2b14f1943dea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7956039758913618974 leastSigBits: -9010529585509155350 } } datanode { uuid: "546f14a3-1782-44ab-a140-5e41355cb1fc" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "546f14a3-1782-44ab-a140-5e41355cb1fc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6084104312307467435 leastSigBits: -6827353400932519428 } } cmdId: 1656378359657 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-06-28 01:06:04,557 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-06-28 01:06:04,571 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-06-28 01:06:04,968 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=LIST_PIPELINE null | ret=SUCCESS |  
