2022-03-22 16:52:56,819 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:53:26,766 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:53:26,815 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:53:26,886 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:53:56,771 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:53:56,822 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:53:56,830 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:54:26,768 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:54:26,805 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:54:26,818 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:54:56,768 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:54:56,811 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:54:56,836 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:26,795 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:26,820 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:26,825 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:56,759 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:56,820 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:55:56,840 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:56:26,792 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:56:26,820 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
2022-03-22 16:56:26,848 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=02b5d6cd-0953-4b76-83e0-1fc73ee9a361, command=[]} | ret=SUCCESS |  
2022-03-22 16:56:56,766 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=954e22d0-42e3-49b9-b841-bf946372af29, command=[]} | ret=SUCCESS |  
2022-03-22 16:56:56,807 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=1b8ae3b7-0a4d-43e0-9ac3-064375e7e7cc, command=[]} | ret=SUCCESS |  
