2022-04-22 01:07:15,399 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=27377-without-scheme, creationTime=1650589634981, modificationTime=1650589634981, quotaInBytes=109951162777600, quotaInNamespace=100, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-04-22 01:07:24,749 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=SET_QUOTA {volume=27377-without-scheme, quotaInBytes=10995116277760} | ret=SUCCESS |  
2022-04-22 01:07:30,464 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=CREATE_BUCKET {volume=27377-without-scheme, bucket=bb1, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1650589650371, bucketEncryptionKey=null, modificationTime=1650589650371, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-04-22 01:07:42,791 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=UPDATE_BUCKET {volume=27377-without-scheme, bucket=bb1, gdprEnabled=null, isVersionEnabled=null} | ret=SUCCESS |  
2022-04-22 01:07:55,760 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_KEY {volume=27377-without-scheme, bucket=bb1, key=key1, dataSize=17526, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2022-04-22 01:07:57,993 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=COMMIT_KEY {volume=27377-without-scheme, bucket=bb1, key=key1, dataSize=17526, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-04-22 01:08:06,586 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_KEY {volume=27377-without-scheme, bucket=bb1, key=key1_RATIS, dataSize=17526, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-22 01:08:09,066 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=COMMIT_KEY {volume=27377-without-scheme, bucket=bb1, key=key1_RATIS, dataSize=17526, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-04-22 01:08:19,921 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=DELETE_KEY {volume=27377-without-scheme, bucket=bb1, key=key1_RATIS, dataSize=0, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2022-04-22 01:08:22,899 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=ALLOCATE_KEY {volume=27377-without-scheme, bucket=bb1, key=key1-copy, dataSize=17526, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2022-04-22 01:08:24,984 | INFO  | OMAudit | user=hadoop | ip=172.18.0.8 | op=COMMIT_KEY {volume=27377-without-scheme, bucket=bb1, key=key1-copy, dataSize=17526, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
