2022-04-18 15:57:55,701 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:57:56,617 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:57:56,842 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:57:56,934 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:58:01,473 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:58:01,727 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:58:02,045 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:58:13,094 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:58:31,535 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:58:32,038 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:58:43,054 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:01,504 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:02,035 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:13,051 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:16,338 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 15:59:19,004 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:19,054 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:19,089 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:27,129 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 15:59:29,034 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:29,072 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:29,084 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:42,473 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 15:59:44,495 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:44,527 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:59:44,588 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:00:14,473 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:00:14,527 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:00:14,539 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:00:23,599 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=DELETE_KEY_BLOCK {KeyBlockToDelete=BlockGroup[groupID='/82395-without-scheme/bb1/key2', blockIDs=[conID: 1 locID: 109611004723200001 bcsId: 0]]} | ret=SUCCESS |  
2022-04-18 16:00:44,484 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:00:44,499 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:00:44,541 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:01:14,460 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:01:14,519 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:01:14,524 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:01:25,847 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:01:34,624 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:01:44,466 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:01:44,494 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:01:44,533 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:02:14,485 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:02:14,518 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:02:14,521 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:02:23,503 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=DELETE_KEY_BLOCK {KeyBlockToDelete=BlockGroup[groupID='/40038-source/bucket1/key2', blockIDs=[conID: 2 locID: 109611004723200005 bcsId: 0]]} | ret=SUCCESS |  
2022-04-18 16:02:38,811 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:02:44,487 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:02:44,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:02:44,539 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:03:14,472 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:03:14,525 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:03:14,532 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:03:29,736 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:31,773 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:34,588 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:39,626 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:39,776 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:39,926 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:40,242 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:40,347 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:41,140 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:41,291 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:41,950 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:42,443 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:43,284 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:03:44,503 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 16:03:44,536 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 16:03:44,558 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 16:04:12,044 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-18 16:04:13,086 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
