2022-03-17 13:05:59,691 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=396acf04-2671-4540-8e64-abded7a4e304{ip: 172.18.0.9, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-17 13:06:00,444 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=90947101-6469-48de-9d0d-98fe230907f3{ip: 172.18.0.10, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-17 13:06:00,544 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=f11e8ea7-ad19-48ce-ad23-24de03b11b6e{ip: 172.18.0.4, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-17 13:06:00,935 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:01,916 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:02,013 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:02,128 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:02,936 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:03,000 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:06,813 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:07,457 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:07,899 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:07,925 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:37,485 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:37,935 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:37,943 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:59,501 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
